queue_rank,candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,pass_1_status,pass_2_status,final_membership_decision,quarantine_reasons
1,BDB-50147876,50147876,CCOc1cc(-c2ccccc2)nc2c1ccc(=O)n2CC,RCDDAILWTKWNPX-UHFFFAOYSA-N,CC1CCC2CCC(C3CCCCC3)CC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
2,BDB-50196551,50196551,Cc1ccc(Nc2nc(-n3cc(CO)cn3)nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1,FFXMREHKIUCCAM-WVSUBDOOSA-N,C1CCC(CC2CC(C3CCCC3)CC3C(C4CCCC4)CCC23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
3,BDB-50298515,50298515,O=C(Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12)C(c1ccccc1)c1ccccc1,DQISRGLAFBOHSH-UHFFFAOYSA-N,CC(CC1CC2CC(CCCC3CCCCC3)CC2C2CC(C3CCCC3)CC12)C(C1CCCCC1)C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
4,BDB-50108038,50108038,CN1CCN(S(=O)(=O)c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)CC1,UIAWUQHFYVTKHM-UHFFFAOYSA-N,CC(C)(C1CCCCC1)C1CCC(CCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
5,BDB-50379111,50379111,O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NC3CCC3)nc(Cl)nc21,KPGIVUGNOFGZRD-FFVUVFKMSA-N,C1CC(CC2CCCC3C2CCC3C2CCC3CC32)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
6,BDB-50048061,50048061,COc1ccc(CNc2ncc(C(=O)NCCc3ccccc3)c3nc(-c4ccco4)nn23)cc1OC,AISRPRRMNYPGJX-UHFFFAOYSA-N,CC(CCCC1CCCCC1)C1CCC(CCC2CCCCC2)C2CC(C3CCCC3)CC12,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
7,BDB-50375482,50375482,O=C(Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1)C1CC1,JBNQXRACQBYPQU-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC(C2CCC3CCCC3C2)C1)C1CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
8,BDB-50003233,50003233,O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)N1CCN(c2ccccc2)CC1,FZSRIJONUFLHPK-UHFFFAOYSA-N,CC(CCC1CCC(C2CC3C(C)C(CC4CC4)C(C)C(CC4CC4)C3C2)CC1)C1CCC(C2CCCCC2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
9,BDB-50256952,50256952,Nc1ncnc2c1nc(Br)n2C1CCCCC1,IVKXIMVGTFMPDF-UHFFFAOYSA-N,C1CCC(C2CCC3CCCCC32)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
10,BDB-50342519,50342519,N=c1ccc2c(-c3ccc(C(=O)NCCNC(=O)COc4ccc(CCCn5ncc6c5nc(N)n5nc(-c7ccco7)nc65)cc4)cc3C(=O)O)c3ccc(N)c(S(=O)(=O)O)c3oc-2c1S(=O)(=O)O,HHKJUHAIZLHJQI-UHFFFAOYSA-N,CC(CCCCC(C)C1CCC(C2C3CCCCC3CC3CC(C)CCC32)CC1)CCC1CCC(CCCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
11,BDB-50256363,50256363,COCCOc1ccc(N2CCN(CCN(CC3CC3)c3cc4nc(-c5ccco5)nn4c(N)n3)CC2)cc1,DKTSTJQGCYJNIY-UHFFFAOYSA-N,C1CCC(C2CCC(CCC(CC3CC3)C3CCC4CC(C5CCCC5)CC4C3)CC2)CC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
12,BDB-50638405,50638405,Nc1nc(-c2ccco2)nc2c1nc(-c1ccco1)n2[C@@H]1OC[C@@H](O)[C@H]1O,JFKRMUAVFJYHNX-KGBXAXFASA-N,C1CCC(C2CCC3CC(C4CCCC4)C(C4CCCC4)C3C2)C1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
13,BDB-50382977,50382977,CSc1nc2nc3c(c(=O)n2[nH]1)CN(Cc1ccccc1)CC3,XEPILNOUAKDUOM-UHFFFAOYSA-N,CC1C2CCCC2CC2CCC(CC3CCCCC3)CC21,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
14,BDB-50376937,50376937,CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cc(-c5ccc(C(F)(F)F)cc5)on4)c3)nc2n(CC)c1=O,VZYBYMUZWCFKQU-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CC4CCC(C5CCCCC5)C4)C3)CC2C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
15,BDB-50499695,50499695,N=C1N(CCCCc2ccccc2)C[C@@H]2Cc3ccccc3CN12,JOTQMKXKZIECRX-FQEVSTJZSA-N,CC1C(CCCCC2CCCCC2)CC2CC3CCCCC3CC21,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
16,BDB-50470461,50470461,CNc1ncc(C(=O)NC(c2ccccc2)c2ccccc2)c2nc(-c3ccco3)nn12,UHDZPXOSQNQCSS-UHFFFAOYSA-N,CC(CC(C1CCCCC1)C1CCCCC1)C1CCCC2CC(C3CCCC3)CC21,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
17,BDB-50383010,50383010,O=c1c(-c2ccco2)nnc2n(CCc3ccccc3)c3ccccc3n12,TYMRXESQMJNRFG-UHFFFAOYSA-N,CC1C(C2CCCC2)CCC2C(CCC3CCCCC3)C3CCCCC3C12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
18,BDB-50085666,50085666,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4cnc[nH]4)nc32)[C@H](O)[C@@H]1O,NANAINBLSKKKCP-YRIIQKNPSA-N,C1CCC(C(CCC2CC(CCCC3CCCC3)CC3C(C4CCCC4)CCC23)C2CCCCC2)CC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
19,BDB-50171773,50171773,Cc1ccc2c(N=[N+]=[N-])c(Cc3ccccc3)cnc2n1,GFTOIPQCHLKALF-UHFFFAOYSA-N,C1CCC(CC2CCC3CCCCC3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
20,BDB-50377555,50377555,Nc1nc(-c2ccccc2)c2ncn(C(=O)NCc3ccccc3)c2n1,MNONTGDJIJLFPU-UHFFFAOYSA-N,CC(CCC1CCCCC1)C1CCC2C(C3CCCCC3)CCCC12,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
21,BDB-50102281,50102281,O=c1c(-c2ccc(O)cc2)nnc2n(Cc3ccccc3)c3ccccc3n12,JYELSORFHCQDSM-UHFFFAOYSA-N,CC1C(C2CCCCC2)CCC2C(CC3CCCCC3)C3CCCCC3C12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
22,BDB-50336988,50336988,O=C(CC1CCCC1)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,QGEFGRKOALZSHD-UHFFFAOYSA-N,CC(CC1CCCC1)CC1CCC(C2CCCCC2)C(C2CCCC2)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
23,BDB-50170827,50170827,c1nc2nc(Nc3ccc(N4CCOCC4)cc3)nc(NC3CC4CCC3C4)c2[nH]1,TYCRGJHWMDJLCO-UHFFFAOYSA-N,C1CCC(C2CCC(CC3CC4CCCC4C(CC4CC5CCC4C5)C3)CC2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
24,BDB-50152092,50152092,COc1ccc(-c2cnn(-c3nc(NCc4cccc(I)c4)c4ncn(C5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c2)cc1,LHHKPNOHZCRPQI-CUVLRLMBSA-N,C1CCC(CCC2CC(C3CCC(C4CCCCC4)C3)CC3C(C4CCCC4)CCC23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
25,BDB-50580308,50580308,Nc1ccccc1NC(=O)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,ONXZCTJYOFXBKU-UHFFFAOYSA-N,CC(CC1CCCCC1)C1CCC(CCCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
26,BDB-21212,21212,Cc1cc(C)n(-c2cc(NC(=O)CCN3CC[C@H](N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,FVYCZVOQAJZLBF-SFHVURJKSA-N,CC(CCC1CCCC1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
27,BDB-50262266,50262266,N#Cc1c(-c2ccc3c(c2)OCO3)cc(-c2ccco2)nc1N,BSDPUVBSSGQTGP-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCC4CCCC4C3)C2)C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
28,BDB-50494467,50494467,CCCC1=C(C(=O)OCC)C(c2ccco2)NC(=O)N1,WRHHNUZCUZVWLY-UHFFFAOYSA-N,CC1CCCC(C2CCCC2)C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
29,BDB-50247934,50247934,COc1cccc(-n2c(=O)n(Cc3c(F)cccc3F)c3cnc(NCCc4cccs4)nc32)c1,LYNYVXYEWWSYMQ-UHFFFAOYSA-N,CC1C(CC2CCCCC2)C2CCC(CCCC3CCCC3)CC2C1C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
30,BDB-50464751,50464751,O=C(CCN1CCc2ccccc2C1)Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1,YPHPMZXEJNUQSP-UHFFFAOYSA-N,CC(CCC1CCC2CCCCC2C1)CC1CC2CC(C3CCCC3)CC2C(C2CCCC2)C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
31,BDB-50410755,50410755,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)n4ccc(N)n4)cc3)cc2n(CCC)c1=O,OBRLHFBUUWTVMS-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCC4)CC3)CC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
32,BDB-50189175,50189175,S=C(NCc1ccccc1)N(Cc1ccccc1)c1nc2c(Cl)ncnc2s1,GMRJTVNCPZHTOX-UHFFFAOYSA-N,CC(CCC1CCCCC1)C(CC1CCCCC1)C1CC2CCCCC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
33,BDB-50377544,50377544,Nc1nc(-c2ccco2)c2cnn(CCCc3ccccc3)c2n1,CECMCHUAHZIDKZ-UHFFFAOYSA-N,C1CCC(CCCC2CCC3C(C4CCCC4)CCCC23)CC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
34,BDB-50064625,50064625,Cc1ccc(Nc2nc(N(C)C)c(C(=O)Nc3sc4c(c3C(N)=O)CCCC4)s2)cc1,MEMQHGHFQKPZOS-UHFFFAOYSA-N,CC(CC1CC2CCCCC2C1)C1CCC(CC2CCCCC2)C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
35,BDB-50389837,50389837,Cc1cccc2sc(NC(=O)CNS(=O)(=O)c3cccs3)nc12,WEBVJYSWMVKMFV-UHFFFAOYSA-N,CC(CCC(C)(C)C1CCCC1)CC1CC2CCCCC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
36,BDB-50013702,50013702,Nc1ncnc2c1ncn2C1CCCCCC1,FHZRSYFMJLJWBS-UHFFFAOYSA-N,C1CCCC(C2CCC3CCCCC32)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
37,BDB-50377546,50377546,Nc1nc(-c2ccco2)c2cnn(Cc3ccco3)c2n1,PDHBEXZQMIJQMS-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)C1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
38,BDB-50023391,50023391,CCCn1c(=O)n(Cc2ccc(N)c(I)c2)c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)nc21,MMUQMGJPHOIRRP-UHFFFAOYSA-N,CC1CC2CC(C3CCCCC3)CC2C(C)C1CC1CCCCC1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
39,BDB-50139722,50139722,COc1ccc(C=NNC(=S)Cc2ccccc2)c(O)c1,XLTCCJIUIMYSBX-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CC1CCCCC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
40,BDB-50248436,50248436,COc1cccc(-n2c(=O)n(C)c3cnc(NC4CC4)nc32)c1,AJRRIEGYRSNLNQ-UHFFFAOYSA-N,CC1CC2CCC(CC3CC3)CC2C1C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
41,BDB-50470477,50470477,CNc1ncc(C(=O)NCc2ccc(-c3ccccc3)cc2)c2nc(-c3ccco3)nn12,LRBRBZRXARFWFP-UHFFFAOYSA-N,CC(CCC1CCC(C2CCCCC2)CC1)C1CCCC2CC(C3CCCC3)CC21,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
42,BDB-50137530,50137530,O=C(Cc1ccccc1)Nc1nc(NCc2ccccc2)nc2nc(-c3ccco3)nn12,XDBHEXCFNGFAMS-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CC(CCC2CCCCC2)CC2CC(C3CCCC3)CC12,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
43,BDB-50389836,50389836,NC(=NC(=O)CN1C(=O)C2CCCCC2C1=O)Nc1nc2ccccc2s1,MIWQXYRPJRSUKA-UHFFFAOYSA-N,CC(CCCC1CC2CCCCC2C1)CC1C(C)C2CCCCC2C1C,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
44,BDB-50361327,50361327,Nc1nc2cnn(CCc3ccccc3)c2c2nc(-c3ccco3)nn12,SLRFMWZADWPTCV-UHFFFAOYSA-N,C1CCC(CCC2CCC3CCC4CC(C5CCCC5)CC4C23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
45,BDB-50095788,50095788,Cn1c(-c2ccccc2F)nc2c(N)nc(C#CC3(O)CCCCC3)nc21,OGMPGZVDXMCVJD-UHFFFAOYSA-N,C1CCC(CCC2CCC3CC(C4CCCCC4)CC3C2)CC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
46,BDB-50208811,50208811,Cc1ccc(S(=O)(=O)n2c(CCOc3nc(N)c4ncn([C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)cc3ccccc32)cc1,ZJDAEJJMDHYEGB-HUBRGWSESA-N,CC(C)(C1CCCCC1)C1C(CCCC2CCC3CCC(C4CCCC4)C3C2)CC2CCCCC21,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
47,BDB-50382979,50382979,NC(c1csc(Nc2nncc3ccccc23)n1)c1ccccc1Cl,GCRYBPRWBPKFMF-UHFFFAOYSA-N,C1CCC(CC2CCC(CC3CCCC4CCCCC43)C2)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
48,BDB-50139734,50139734,S=C(Cc1ccccc1)NN=Cc1cnc2ccccc2c1,JBZHGBGUPKQCBU-UHFFFAOYSA-N,CC(CCCC1CCC2CCCCC2C1)CC1CCCCC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
49,BDB-50508681,50508681,O=C(Nc1nc(-c2ccccc2)nc2sc(-c3ccco3)nc12)c1ccccc1,BTDPUZHZCQINFZ-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC2CC(C3CCCC3)CC12)C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
50,BDB-50194816,50194816,Fc1ccc(CNc2nc(-c3ccccc3)cc(C(F)(F)F)n2)cc1,SVNVSTDRFRAKND-UHFFFAOYSA-N,C1CCC(CCC2CCCC(C3CCCCC3)C2)CC1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
51,BDB-50470488,50470488,CNc1ncc(C(=O)NCc2ccc(OC)c(OC)c2)c2nc(-c3ccco3)nn12,CJWPDQKJIQQPSQ-UHFFFAOYSA-N,CC(CCC1CCCCC1)C1CCCC2CC(C3CCCC3)CC21,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
52,BDB-50139768,50139768,CSc1cccc2c(C(=O)NCc3cccc4cccnc34)nc(N)nc12,DVGQDYYVGLUGNW-UHFFFAOYSA-N,CC(CCC1CCCC2CCCCC21)C1CCCC2CCCCC21,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
53,BDB-50545321,50545321,Nc1nc(N2CCC(CNC(=O)CCN3C(=O)c4ccccc4S3(=O)=O)CC2)nc2sc(-c3ccco3)nc12,PMUTYNGFYXBVDY-UHFFFAOYSA-N,CC(CCC1CCC(C2CCC3CC(C4CCCC4)CC3C2)CC1)CCC1C(C)C2CCCCC2C1(C)C,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
54,BDB-50196544,50196544,OCc1cnn(-c2nc(Nc3ncc4ccccc4n3)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,JTJKCSSYQFNNON-WVSUBDOOSA-N,C1CCC2CC(CC3CC(C4CCCC4)CC4C(C5CCCC5)CCC34)CCC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
55,BDB-50410728,50410728,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)c4c(NC(=O)O)[nH]c(=O)n(C)c4=O)cc3)cc2n(CCC)c1=O,PDFGJPCUSITVSI-UHFFFAOYSA-N,CC1CCC(C(C)CCC2CCC(C3CC4CC(C)CC(C)C4C3)CC2)C(C)C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
56,BDB-50141449,50141449,Nc1nc(NC(=O)CC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,SBJQACFELVSXPD-IWCJZZDYSA-N,CC(CC1CCCCC1)CC1CCC2CCC(C3CCCC3)C2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
57,BDB-21199,21199,Cc1cc(C)n(-c2cc(NC(=O)CN3CCCOCC3)nc(-c3ccc(C)o3)n2)n1,MJCNLEGNWBNHCX-UHFFFAOYSA-N,CC(CC1CCCCCC1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
58,BDB-50410682,50410682,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(OCc5ccccc5)cc4)cc3)cc2n(CCC)c1=O,BEDJXTZHYOLEPQ-UHFFFAOYSA-N,CC(CCC1CCC(C2CC3CC(C)CC(C)C3C2)CC1)CC1CCC(CCC2CCCCC2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
59,BDB-50247456,50247456,Cc1cc(C)cc(-c2nc(NC3CCCC3)c3ncn([C@@H]4O[C@H](Cn5nc(C)cc5C)[C@@H](O)[C@H]4O)c3n2)c1,JTOBORUICCTILQ-WBMMKZCBSA-N,C1CCC(C2CC(CC3CCCC3)C3CCC(C4CCC(CC5CCCC5)C4)C3C2)CC1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
60,BDB-50628405,50628405,O[C@@H]1[C@H](O)CS[C@H]1n1c(-c2ccco2)nc2c(NCc3cccc(I)c3)nc(Cl)nc21,YFDPVXTZPTZXLH-KPAZRMRSSA-N,C1CCC(CCC2CCCC3C2CC(C2CCCC2)C3C2CCCC2)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
61,BDB-50298523,50298523,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,KASKCLZTEOJTOF-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CC2CCCC2C2CC(C3CCCC3)CC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
62,BDB-50133368,50133368,O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,OOTVLKSCGYKBDY-UHFFFAOYSA-N,CC(CC1CCCC2CCCCC21)CC1CC2CC(CCCC3CCCCC3)CC2C2CC(C3CCCC3)CC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
63,BDB-50315633,50315633,Cn1cc2c(nc(NC(=O)c3ccccc3)n3nc(-c4ccccc4)nc23)n1,UDLCSCAETZRITG-UHFFFAOYSA-N,CC(CC1CC2CCCC2C2CC(C3CCCCC3)CC12)C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
64,BDB-50116381,50116381,O=c1c2c(nc3ccccn32)n(Cc2ccccc2)c(=O)n1Cc1ccccc1,MRCLOFVOQWMJPM-UHFFFAOYSA-N,CC1C(CC2CCCCC2)C(C)C2C3CCCCC3CC2C1CC1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
65,BDB-26250,26250,CC(=O)Nc1cc(-c2cccc(N3CCCC3)n2)nc(-n2nc(C)cc2C)n1,FKWNFEDFTOOVQH-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCCC(C4CCCC4)C3)C2)C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
66,BDB-50508676,50508676,Cc1nc(NC(=O)c2ccccc2)c2nc(-c3ccccc3)sc2n1,LPOBTRHTHNJVJG-UHFFFAOYSA-N,CC(CC1CCCC2CC(C3CCCCC3)CC12)C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
67,BDB-50580311,50580311,Nc1cc(F)ccc1NC(=O)c1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,AWMBFBCZLVOQAV-UHFFFAOYSA-N,CC(CC1CCCCC1)C1CCC(CCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
68,BDB-50545434,50545434,CN1CCN(CCOc2ccc(-c3cn4c(=O)n(-c5ccccc5)nc4c(N)n3)cc2)CC1,QFMDFBRPJRPXLV-UHFFFAOYSA-N,CC1C2CC(C3CCC(CCCC4CCCCC4)CC3)CCC2CC1C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
69,BDB-50375483,50375483,CCC(CC)C(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,VSEANJMMULLJNQ-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCC4CCCC4C3)C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
70,BDB-50080287,50080287,Cc1[nH]c2nc(-c3ccccc3)nc(NCCN3CCNC3=O)c2c1C,KQKYOWHVYGWBHO-UHFFFAOYSA-N,CC1CCCC1CCCC1CC(C2CCCCC2)CC2CCCC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
71,BDB-50137635,50137635,Fc1ccc(CNc2nc(NC3CCCCC3)nc3nc(-c4ccco4)nn23)cc1,MFDDHVJCVCVPIP-UHFFFAOYSA-N,C1CCC(CCC2CC(CC3CCCCC3)CC3CC(C4CCCC4)CC23)CC1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
72,BDB-50537273,50537273,COc1ccc(CN2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)cc1Cl,HVFBZUURAZGZKR-UHFFFAOYSA-N,CC1CC(C)C2C(C1)CC1C(CC3CCCCC3)CCCC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
73,BDB-50047987,50047987,C=C(OCC)c1cnc(NC(=O)NC2CCCCC2)n2nc(-c3ccco3)nc12,NRSCJCCACLWGQC-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CCCC2CC(C3CCCC3)CC12,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
74,BDB-50179301,50179301,CCc1nc2c([nH]1)c1nc(CC)[nH]c1c1nc(CC)[nH]c21,LYALQSWCHUWEAF-UHFFFAOYSA-N,C1CC2C3CCCC3C3CCCC3C2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
75,BDB-50382989,50382989,CC1CC(c2ccccc2)n2nc(-n3c(O)c4c(c3O)CC=CC4)nc2N1,UKVAEISSAVZLLZ-UHFFFAOYSA-N,C1CCC(C2CCCC3CC(C4CC5CCCCC5C4)CC32)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_units|unresolved_wild_type_status
76,BDB-50298497,50298497,Cn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,GIZJFZFSTGLKAS-UHFFFAOYSA-N,CC(CCC1CCCCC1)CC1CC2CCCC2C2CC(C3CCCC3)CC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
