queue_rank,candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,pass_1_status,pass_2_status,final_membership_decision,quarantine_reasons
179,BDB-50580310,50580310,Nc1cc(F)ccc1NC(=O)c1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1,OJSWNBSTDSTLPO-UHFFFAOYSA-N,CC(CC1CCCCC1)C1CCC(CCCC2CCC3CC(C4CCCC4)CC3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
180,BDB-50257000,50257000,Nc1ncnc2c1ncn2C1CCC1,JGFAEEKLMAWINF-UHFFFAOYSA-N,C1CCC2C(C1)CCC2C1CCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
181,BDB-14390,14390,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,BNRNXUUZRGQAQC-UHFFFAOYSA-N,CC1CC(C2CCCC(C(C)(C)C3CCCCC3)C2)CC2CCCC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
182,BDB-35839,35839,Cc1ccc(-c2cc(C(=O)NCc3nccn3C(C)C)nc(N)n2)o1,FOBLNBXDRQYXQV-UHFFFAOYSA-N,CC(CCC1CCCC1)C1CCCC(C2CCCC2)C1,metadata_pass_requires_endpoint_resolution,quarantine,quarantine,retrieved_primary_full_text_unavailable
183,BDB-50248578,50248578,COc1cccc(-n2c(=O)n(Cc3c(F)cccc3F)c3cnc(NCCc4ccccn4)nc32)c1,UPPCVKRCEALPST-UHFFFAOYSA-N,CC1C(CC2CCCCC2)C2CCC(CCCC3CCCCC3)CC2C1C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
184,BDB-50414356,50414356,CCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NN4CCc5ccccc5C4)cc3)nc2n(CCCOC)c1=O,OWZKUWVVPFHDPB-UHFFFAOYSA-N,CC(CCC1CCC(C2CC3CC(C)CC(C)C3C2)CC1)CC1CCC2CCCCC2C1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
185,BDB-50343135,50343135,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(Cl)cc3)nn12,UMYJKAPQXPVTEH-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CC2CC(CCC3CCCCC3)CC2C2CC(C3CCCCC3)CC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
186,BDB-50275637,50275637,Cc1nc2c(N)nc(Nc3ccccc3)nc2s1,JXMVGWKOLQYAPP-UHFFFAOYSA-N,C1CCC(CC2CCC3CCCC3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
187,BDB-50298553,50298553,O=C(Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12)C(c1ccccc1)c1ccccc1,LWYRFEDQIGXNNB-UHFFFAOYSA-N,CC(CC1CC2CC(CCC3CCCCC3)CC2C2CC(C3CCCC3)CC12)C(C1CCCCC1)C1CCCCC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
188,BDB-50346909,50346909,Cn1cc2c(n1)c(N)nc1c(OCc3ccccc3)cccc12,BTNNZWURLUOUIL-UHFFFAOYSA-N,C1CCC(CCC2CCCC3C4CCCC4CCC23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
189,BDB-50271536,50271536,O=C(NCc1ccccc1)Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12,VIBOPLGOAIYGMR-UHFFFAOYSA-N,CC(CCC1CCCCC1)CC1CC2CCCCC2C2C(C)C(C3CCCCC3)CC12,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
190,BDB-50545315,50545315,Nc1nc(NCC2CCN(CC(=O)Nc3ccc(S(N)(=O)=O)cc3)CC2)nc2sc(-c3ccco3)nc12,UQWRJYJCAOENJM-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CCC(CCC2CCC3CC(C4CCCC4)CC3C2)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
191,BDB-50395552,50395552,O=C(Cc1ccccc1)Nc1nn2c(-c3ccco3)nnc2s1,XJNXZELXQVQLKI-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CC2CCC(C3CCCC3)C2C1,quarantine_target_not_supported,quarantine,quarantine,pass_1_rejected|retrieved_primary_full_text_unavailable
192,BDB-50047917,50047917,OC[C@H]1O[C@@H](n2cnc3c(NC4CC4c4ccccc4)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O,ZUZUSCXGJHXEMB-WXAVEZDYSA-N,C1CCC(CCC2CC(CC3CC3C3CCCCC3)C3CCC(C4CCCC4)C3C2)CC1,metadata_pass_fulltext_ready,quarantine,quarantine,unresolved_molecule_identity|unresolved_relation|unresolved_stereochemistry|unresolved_target_species|unresolved_units|unresolved_wild_type_status
193,BDB-50091143,50091143,c1ccc(CCNc2nc3ccccc3c3cn(-c4ccccc4)nc23)cc1,CYSDHZJPDQKSJB-UHFFFAOYSA-N,C1CCC(CCCC2CC3CCCCC3C3CC(C4CCCCC4)CC23)CC1,metadata_pass_needs_fulltext,quarantine,quarantine,retrieved_primary_full_text_unavailable
