candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,doi,pmid,sealed_exact_ki_measurement_count,prior_exact_structure_overlap,model_selection_generic_scaffold_overlap,primary_evidence_review_status,intake_status,quarantine_reasons
BDB-50604931,50604931,Nc1nc(-c2ccco2)c2cnn(Cc3ccc(/C=C/C(=O)NO)cc3)c2n1,HADMBUXJGCALMH-BQYQJAHWSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604932,50604932,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(/C=C/C(=O)NO)c3)c2n1,SZNUGYXIXXNAOC-VOTSOKGWSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604933,50604933,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(/C=C/C(=O)NO)c2)o1,ALUBLBMIZNEPIT-SOFGYWHQSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604937,50604937,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCC(=O)NO)c3)c2n1,XXBLBFPUOSWBDU-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604938,50604938,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCCC(=O)NO)c3)c2n1,RBVNSTORMBQZHN-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604939,50604939,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCCCC(=O)NO)c3)c2n1,BNMVLBFIXXFEJN-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604940,50604940,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(OCCCCC(=O)NO)c2)o1,VGPWNNYVQUWXJT-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604941,50604941,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(OCCCCCC(=O)NO)c2)o1,KLGPVKAUWJSGET-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604942,50604942,Cc1ccc(-c2nc(N)nc3c2cnn3Cc2cccc(OCCCCCCC(=O)NO)c2)o1,UTQQHFAKUWFGCW-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
BDB-50604943,50604943,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCC(=O)NO)n3)c2n1,DEKCUYWHVMRDNV-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)CC1,,35390714,1,False,True,pending_dual_review,quarantined_before_evidence_review,generic_scaffold_overlaps_model_selection
