index,input_name,gaff2_name,element
1,N,N,N
2,C,C,C
3,N,N1,N
4,C,C1,C
5,C,C2,C
6,C,C3,C
7,C,C4,C
8,C,C5,C
9,C,C6,C
10,N,N2,N
11,C,C7,C
12,C,C8,C
13,N,N3,N
14,C,C9,C
15,N,N4,N
16,N,N5,N
17,C,C10,C
18,C,C11,C
19,C,C12,C
20,C,C13,C
21,C,C14,C
22,O,O,O
23,N,N6,N
24,H,H,H
25,H,H1,H
26,H,H2,H
27,H,H3,H
28,H,H4,H
29,H,H5,H
30,H,H6,H
31,H,H7,H
32,H,H8,H
33,H,H9,H
34,H,H10,H
