record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at
GTPDB-390,MRE 2029F20,GtoPdb:390,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)c1cc(nn1C)OCC(=O)Nc1ccc2c(c1)OCO2,GtoPdb 2026.2 human A2A,independent_curated_database,390,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=390,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-392,MRS1041,GtoPdb:392,CCOc1cc(OCC)c2c(c1)oc(c(c2=O)OCC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,392,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=392,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-393,MRS1042,GtoPdb:393,CCCOc1cc(OCCC)c2c(c1)oc(c(c2=O)OCCC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,393,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=393,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-395,MRS1065,GtoPdb:395,COc1c2c(=O)cc(oc2cc2c1cco2)/C=C/c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,395,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=395,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-396,MRS1066,GtoPdb:396,CCOc1c2c(=O)cc(oc2cc2c1cco2)/C=C/c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,396,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=396,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-397,MRS1084,GtoPdb:397,CCCOc1c2c(=O)cc(oc2cc2c1cco2)/C=C/c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,397,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=397,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-398,MRS1086,GtoPdb:398,CCOc1ccc(c(c1)OCC)c1oc2cc(OCC)cc(c2c(=O)c1OCC)OCC,GtoPdb 2026.2 human A2A,independent_curated_database,398,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=398,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-399,MRS1093,GtoPdb:399,CCOc1cc(O)c2c(c1)oc(c(c2=O)OCC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,399,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=399,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-400,MRS1132,GtoPdb:400,O=c1c(Cl)c(oc2c1cccc2)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,400,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=400,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-401,MRS923,GtoPdb:401,COc1ccc(c(c1)OC)c1oc2cc(OC)cc(c2c(=O)c1OC)OC,GtoPdb 2026.2 human A2A,independent_curated_database,401,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=401,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-402,MRS928,GtoPdb:402,COc1cc(OC)c2c(c1)oc(c(c2=O)OC)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,402,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=402,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-403,SCH 58261,GtoPdb:403,Nc1nc2n(CCc3ccccc3)ncc2c2n1nc(n2)c1ccco1,GtoPdb 2026.2 human A2A,independent_curated_database,403,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=403,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-404,xanthine amine congener,GtoPdb:404,CCCn1c2nc([nH]c2c(=O)n(c1=O)CCC)c1ccc(cc1)OCC(=O)NCCN,GtoPdb 2026.2 human A2A,independent_curated_database,404,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=404,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-405,ZM-241385,GtoPdb:405,Oc1ccc(cc1)CCNc1nc(N)n2c(n1)nc(n2)c1ccco1,GtoPdb 2026.2 human A2A,independent_curated_database,405,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=405,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-407,caffeine,GtoPdb:407,Cn1cnc2c1c(=O)n(C)c(=O)n2C,GtoPdb 2026.2 human A2A,independent_curated_database,407,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=407,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
GTPDB-409,flavone,GtoPdb:409,O=c1cc(oc2c1cccc2)c1ccccc1,GtoPdb 2026.2 human A2A,independent_curated_database,409,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=409,gtopdb-2026.2-target19-b0de701b8ebea1f4,2026-06-15,2026-09-11T11:32:00+00:00,false,first project access after v1.3 freeze; automated check against full pre-freeze structure pool still required,,unreviewed_action_annotation_withheld,2026-09-11T11:32:00+00:00
