record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at,standardized_smiles,standardized_inchikey,murcko_scaffold_smiles,generic_murcko_scaffold_smiles,historical_independence_eligible,screening_reasons
LIT25-RL-C7,RL study compound 7,PDB:A1IR1,c1cc(nc(c1)n2ccnc2)c3nc(nc(n3)N)c4ccco4,Primary literature pilot 2025,primary_publication,RCSB:A1IR1,https://data.rcsb.org/rest/v1/core/chemcomp/A1IR1,a2a-primary-literature-pilot-2026-09-11,2025-07-01,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,novel_chemotype,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z,Nc1nc(-c2cccc(-n3ccnc3)n2)nc(-c2ccco2)n1,PZPYYFUYDDSXJF-UHFFFAOYSA-N,c1cc(-c2ncnc(-c3ccco3)n2)nc(-n2ccnc2)c1,C1CCC(C2CCCC(C3CCCC(C4CCCC4)C3)C2)C1,True,
LIT25-RL-C9,RL study compound 9,PDB:A1IR0,c1cc(oc1)c2nc(c3ccn(c3n2)c4ccncc4)N,Primary literature pilot 2025,primary_publication,RCSB:A1IR0,https://data.rcsb.org/rest/v1/core/chemcomp/A1IR0,a2a-primary-literature-pilot-2026-09-11,2025-07-01,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,novel_chemotype,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z,Nc1nc(-c2ccco2)nc2c1ccn2-c1ccncc1,WXVIBIODIRHTBI-UHFFFAOYSA-N,c1coc(-c2ncc3ccn(-c4ccncc4)c3n2)c1,C1CCC(C2CCC3CCC(C4CCCC4)CC32)CC1,True,
LIT25-RL-C5,RL study compound 5,OPSIN:NMTSCZDEWYHEMT-UHFFFAOYSA-N,NC1=NC2=CC=C(C=C2C(=N1)C1=CC=C(C=C1)O)F,Primary literature pilot 2025,primary_publication,OPSIN:NMTSCZDEWYHEMT-UHFFFAOYSA-N,https://opsin.ch.cam.ac.uk/opsin/4-(2-amino-6-fluoroquinazolin-4-yl)phenol.json,a2a-primary-literature-pilot-2026-09-11,2025-07-01,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; exact name visually verified in the primary supporting information and resolved by OPSIN; automated exact and scaffold screening required,novel_chemotype,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z,Nc1nc(-c2ccc(O)cc2)c2cc(F)ccc2n1,NMTSCZDEWYHEMT-UHFFFAOYSA-N,c1ccc(-c2ncnc3ccccc23)cc1,C1CCC(C2CCCC3CCCCC32)CC1,True,
LIT25-MET-PGD2,prostaglandin D2,PubChem:448457,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O,Primary literature pilot 2025,primary_publication,PubChem:448457,https://pubchem.ncbi.nlm.nih.gov/compound/448457,a2a-primary-literature-pilot-2026-09-11,2025-12-09,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,metabolite,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,BHMBVRSPMRCCGG-OUTUXVNYSA-N,O=C1CCCC1,CC1CCCC1,True,
