molecule_id,standardized_inchikey,endpoint_name,functional_mode,aggregated_pactivity,measurement_count,assay_count,primary_document_count,interassay_sd,interassay_mad,minimum_pactivity,maximum_pactivity,high_disagreement_flag,development_partition,external_eligibility,review_status
CHEMBL4849795,NULDMQXOPYHTEN-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.510000,2,2,2,0.000000,0.000000,7.510000,7.510000,False,development,False,admitted_exploratory
CHEMBL4855390,PNJNWZKAPLPXAV-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.080000,1,1,1,,0.000000,7.080000,7.080000,False,development,False,admitted_exploratory
CHEMBL4855908,PBQNARNDMLPGRK-UHFFFAOYSA-N,pFunc_inhibition,antagonist,9.130000,1,1,1,,0.000000,9.130000,9.130000,False,development,False,admitted_exploratory
CHEMBL4858144,ZMVMIKHRMKEKHO-UHFFFAOYSA-N,pFunc_inhibition,antagonist,9.520000,1,1,1,,0.000000,9.520000,9.520000,False,development,False,admitted_exploratory
CHEMBL486162,CQMWNSQCEMHNIW-UHFFFAOYSA-N,pBind_Ki,,9.150000,1,1,1,,0.000000,9.150000,9.150000,False,locked_holdout,False,admitted_exploratory
CHEMBL486162,CQMWNSQCEMHNIW-UHFFFAOYSA-N,pFunc_inhibition,antagonist,8.150000,1,1,1,,0.000000,8.150000,8.150000,False,locked_holdout,False,admitted_exploratory
CHEMBL4862010,GJIKYVGVZVLJJP-UHFFFAOYSA-N,pFunc_inhibition,antagonist,8.040000,1,1,1,,0.000000,8.040000,8.040000,False,development,False,admitted_exploratory
CHEMBL487554,UHHRYINUVNKFTA-UHFFFAOYSA-N,pBind_Ki,,9.330000,1,1,1,,0.000000,9.330000,9.330000,False,development,False,admitted_exploratory
CHEMBL487554,UHHRYINUVNKFTA-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.750000,1,1,1,,0.000000,7.750000,7.750000,False,development,False,admitted_exploratory
CHEMBL506250,BDULELAUBSFJFH-UHFFFAOYSA-N,pBind_Ki,,9.000000,1,1,1,,0.000000,9.000000,9.000000,False,development,False,admitted_exploratory
CHEMBL5074910,QJCIJBBTTGKSQT-UHFFFAOYSA-N,pFunc_inhibition,antagonist,5.990000,1,1,1,,0.000000,5.990000,5.990000,False,locked_holdout,False,admitted_exploratory
CHEMBL5075422,REBSCEKUSAWQBZ-UHFFFAOYSA-N,pBind_Ki,antagonist,8.250000,1,1,1,,0.000000,8.250000,8.250000,False,locked_holdout,False,admitted_exploratory
CHEMBL5075422,REBSCEKUSAWQBZ-UHFFFAOYSA-N,pFunc_inhibition,antagonist,8.240000,1,1,1,,0.000000,8.240000,8.240000,False,locked_holdout,False,admitted_exploratory
CHEMBL5076939,KONIIWKRLZETBJ-UHFFFAOYSA-N,pFunc_inhibition,antagonist,5.660000,1,1,1,,0.000000,5.660000,5.660000,False,development,False,admitted_exploratory
CHEMBL5078181,CMWXSRYHPVUFTA-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.150000,1,1,1,,0.000000,6.150000,6.150000,False,development,False,admitted_exploratory
CHEMBL5081971,WALHSXGJSVIXLF-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.220000,1,1,1,,0.000000,6.220000,6.220000,False,locked_holdout,False,admitted_exploratory
CHEMBL5083868,MIBKLSWBYDFURE-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.010000,1,1,1,,0.000000,6.010000,6.010000,False,locked_holdout,False,admitted_exploratory
CHEMBL5090017,QLDKSNSJQOSBLD-HNNXBMFYSA-N,pFunc_inhibition,antagonist,8.080000,4,4,1,0.683295,0.050000,6.750000,8.180000,False,development,False,admitted_exploratory
CHEMBL5176737,QHIATACMHNLOEM-UHFFFAOYSA-N,pBind_Ki,antagonist,9.520000,1,1,1,,0.000000,9.520000,9.520000,False,locked_holdout,False,admitted_exploratory
CHEMBL5176737,QHIATACMHNLOEM-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.160000,1,1,1,,0.000000,7.160000,7.160000,False,locked_holdout,False,admitted_exploratory
CHEMBL5203469,MUHXGASCCALSAJ-PRIMNGNOSA-N,pBind_Ki,antagonist,7.925000,2,2,2,0.261630,0.185000,7.740000,8.110000,False,development,False,admitted_exploratory
CHEMBL5397080,GROXRDPKODZSRI-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.160000,1,1,1,,0.000000,7.160000,7.160000,False,development,False,admitted_exploratory
CHEMBL5439885,GRPFMWNVPJZROD-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.770000,1,1,1,,0.000000,6.770000,6.770000,False,development,False,admitted_exploratory
CHEMBL5556919,MYHYECFOCSQRBC-PRIMNGNOSA-N,pBind_Ki,,7.690000,1,1,1,,0.000000,7.690000,7.690000,False,development,False,admitted_exploratory
CHEMBL5561038,CUXKGZJSDUHGOJ-UHFFFAOYSA-N,pBind_Ki,,8.300000,1,1,1,,0.000000,8.300000,8.300000,False,development,False,admitted_exploratory
CHEMBL5562893,VZXSLMMZUNIHCA-UHFFFAOYSA-N,pFunc_inhibition,antagonist,8.045000,2,2,1,0.134350,0.095000,7.950000,8.140000,False,development,False,admitted_exploratory
CHEMBL600794,YCIKPGUSEZZDGL-UHFFFAOYSA-N,pBind_Ki,antagonist,5.570000,1,1,1,,0.000000,5.570000,5.570000,False,development,False,admitted_exploratory
CHEMBL600819,VJCANGHIFSKRFF-UHFFFAOYSA-N,pBind_Ki,antagonist,6.200000,1,1,1,,0.000000,6.200000,6.200000,False,development,False,admitted_exploratory
CHEMBL601413,YHFDPEYHDOTAOT-UHFFFAOYSA-N,pBind_Ki,antagonist,6.520000,1,1,1,,0.000000,6.520000,6.520000,False,development,False,admitted_exploratory
