measurement_id,molecule_id,standardized_inchikey,endpoint_name,functional_mode,functional_mode_source,standard_type,standard_relation,standard_value,standard_units,pactivity_value,pactivity_recalculated,pactivity_absolute_difference,assay_chembl_id,target_chembl_id,target_gene,target_organism,target_type,target_confidence,assay_type,bao_format,cell_chembl_id,document_chembl_id,doi,pmid,document_type,source_retrieved_at,data_validity_comment,activity_comment,review_status,admission_reasons,development_partition
1795772,CHEMBL219055,JBQPJIFYNWOTMD-IDTAVKCVSA-N,,antagonist,assay_text_rule,Inhibition,=,18.0,%,,,,CHEMBL909309,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1137298,10.1021/jm0608208,17149867,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_nm_units|pchembl_missing_or_inconsistent,development
1795812,CHEMBL219055,JBQPJIFYNWOTMD-IDTAVKCVSA-N,,agonist,assay_text_rule,Activity,<,50.0,%,,,,CHEMBL909310,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL1137298,10.1021/jm0608208,17149867,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|non_nm_units|pchembl_missing_or_inconsistent,development
1795764,CHEMBL219256,UVCPEXPHSCKQFM-SCFUHWHPSA-N,,antagonist,assay_text_rule,Inhibition,=,39.0,%,,,,CHEMBL909309,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1137298,10.1021/jm0608208,17149867,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_nm_units|pchembl_missing_or_inconsistent,development
1795820,CHEMBL219256,UVCPEXPHSCKQFM-SCFUHWHPSA-N,,agonist,assay_text_rule,Activity,<,50.0,%,,,,CHEMBL909310,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL1137298,10.1021/jm0608208,17149867,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|non_nm_units|pchembl_missing_or_inconsistent,development
1901934,CHEMBL225368,OSBIAWPZBNFCQQ-ODNYIURZSA-N,,,unresolved,Activity,>,40.0,%,,,,CHEMBL889380,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,8,B,BAO_0000249,,CHEMBL1145382,10.1021/jm060947x,17539620,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_human_context|non_exact_relation|non_nm_units|pchembl_missing_or_inconsistent,development
1901977,CHEMBL225368,OSBIAWPZBNFCQQ-ODNYIURZSA-N,,agonist,assay_text_rule,Activity,,,,,,,CHEMBL889385,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307740,CHEMBL1145382,10.1021/jm060947x,17539620,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|non_nm_units|non_positive_or_missing_value|pchembl_missing_or_inconsistent,development
1831163,CHEMBL225459,OXLUZSPXALFOBX-NVQRDWNXSA-N,pBind_Ki,,unresolved,Ki,=,150.0,nM,6.82,6.823909,0.003909,CHEMBL918609,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,B,BAO_0000219,CHEMBL3308072,CHEMBL1144471,10.1021/jm061278q,17378544,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
1831237,CHEMBL225459,OXLUZSPXALFOBX-NVQRDWNXSA-N,pFunc_agonism,agonist,assay_text_rule,EC50,=,39.7,nM,7.40,7.401209,0.001209,CHEMBL918613,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3308072,CHEMBL1144471,10.1021/jm061278q,17378544,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,admitted_exploratory,,development
1901900,CHEMBL226694,CWFYFSVSDFREOX-HNLGHXBASA-N,,,unresolved,Kd,=,25000.0,nM,4.60,4.602060,0.002060,CHEMBL889376,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,8,B,BAO_0000249,,CHEMBL1145382,10.1021/jm060947x,17539620,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_human_context,locked_holdout
1901935,CHEMBL226694,CWFYFSVSDFREOX-HNLGHXBASA-N,,,unresolved,Activity,>,40.0,%,,,,CHEMBL889380,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,8,B,BAO_0000249,,CHEMBL1145382,10.1021/jm060947x,17539620,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_human_context|non_exact_relation|non_nm_units|pchembl_missing_or_inconsistent,locked_holdout
1901978,CHEMBL226694,CWFYFSVSDFREOX-HNLGHXBASA-N,,agonist,assay_text_rule,Activity,,,,,,,CHEMBL889385,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307740,CHEMBL1145382,10.1021/jm060947x,17539620,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted|non_exact_relation|non_nm_units|non_positive_or_missing_value|pchembl_missing_or_inconsistent,locked_holdout
13287501,CHEMBL2377086,VQUWVROZMNLFDC-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,500.0,nM,6.30,6.301030,0.001030,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,locked_holdout
13287517,CHEMBL2377087,DOOVOCKWYMYRGX-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,207.0,nM,6.68,6.684030,0.004030,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,development
13287544,CHEMBL2377088,YCJUYKBUDGJHNY-UHFFFAOYSA-N,,antagonist,assay_text_rule,Ki,=,29.8,nM,7.53,7.525784,0.004216,CHEMBL2380019,CHEMBL251,ADORA2A,Homo sapiens,SINGLE PROTEIN,9,F,BAO_0000219,CHEMBL3307512,CHEMBL2375358,10.1016/j.bmcl.2013.02.078,23522563,PUBLICATION,2026-09-12T13:56:46.856914+00:00,,,quarantine,endpoint_or_functional_mode_not_admitted,locked_holdout
