chembl_id,molecule_name,proposed_class,evidence_strength,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,standardized_smiles,standardized_inchikey,generic_scaffold,passes_prospective_property_filters,review_notes,curation_batch,batch_priority,reviewer_1,decision_1,reviewer_2,decision_2,adjudicator,final_decision
CHEMBL1460863,CHEMBL1460863,antagonist,initial,1,1,1,CHEMBL5336572,CHEMBL5335785,EC50,Antagonist activity at human A2AR expressed in Flp-In-CHO cells assessed as NECA-mediated cAMP accumulation incubated for 30 to 60 mins followed by NECA addition measured after 30 mins by LANCE cAMP assay (Rvb = 8.38 +/- 0.03 No_unit),COc1ccc(C(=O)Nc2nc(C)c3cc4c(cc3n2)OCO4)cc1,XAESXNPBEDJXJH-UHFFFAOYSA-N,CC(CC1CCC2CC3CCCC3CC2C1)C1CCCCC1,True,,3,18,,,,,,
CHEMBL1561896,CHEMBL1561896,antagonist,initial,1,1,1,CHEMBL4123896,CHEMBL4118207,Inhibition,Antagonist activity at human A2A receptor expressed in CHO cells assessed as inhibition of NECA-stimulated cAMP accumulation at 100 nM preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,COc1cccc(COC(=O)c2nn(-c3ccccc3)nc2N)c1,PVXSYGKEPLNOTR-UHFFFAOYSA-N,CC(CCC1CCCCC1)C1CCC(C2CCCCC2)C1,True,,3,19,,,,,,
CHEMBL4582207,CHEMBL4582207,agonist,medium,2,2,1,CHEMBL4430990,CHEMBL4428125,Activity,Agonist activity at recombinant human A2A receptor expressed in CHO cells assessed as increase in forskolin-induced cAMP level at at 10 uM preincubated for 20 mins prior to forskolin-stimulation measure after 5 mins by liquid scintillation counting method,Cn1c(=O)c2c(nc3n2CCN(CCCc2ccc(Cl)cc2)C3)n(C)c1=O,OOVWJQCYDXLQQI-UHFFFAOYSA-N,CC1CC(C)C2C(C1)CC1CC(CCCC3CCCCC3)CCC12,True,,3,20,,,,,,
CHEMBL1587915,CHEMBL1587915,antagonist,initial,1,1,1,CHEMBL5336572,CHEMBL5335785,EC50,Antagonist activity at human A2AR expressed in Flp-In-CHO cells assessed as NECA-mediated cAMP accumulation incubated for 30 to 60 mins followed by NECA addition measured after 30 mins by LANCE cAMP assay (Rvb = 8.38 +/- 0.03 No_unit),CC(C)C(=O)Nc1ncc2c(n1)CC(c1cccs1)CC2=O,YPMWIVBLLPUGOQ-UHFFFAOYSA-N,CC1CC(C2CCCC2)CC2CCCCC12,True,,3,21,,,,,,
CHEMBL1671936,CHEMBL1671936,antagonist,initial,1,1,1,CHEMBL1679415,CHEMBL1671809,Kb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation,CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,KEUJAGGJGBWRFC-UHFFFAOYSA-N,CC(CC1CCCC1)C1CCCCC1,True,,3,22,,,,,,
CHEMBL183,"1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]",antagonist,initial,1,1,1,CHEMBL4407539,CHEMBL4406810,IC50,Antagonist activity at human A2AR expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP production by alphascreen assay,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,FFBDFADSZUINTG-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCCC3)CC2C1,True,,3,23,,,,,,
CHEMBL5171042,CHEMBL5171042,agonist,medium,2,2,1,CHEMBL5099262,CHEMBL5096218,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO-K1 cells assessed as inhibition of forskolin-induced cAMP accumulation incubated for 30 mins by LANCE ultra assay,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCC[C@H]4Oc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,MNMRRFAISKIFMJ-SLHDEKGNSA-N,C1CCC(CC2CCCC2CC2CCCC3C(C4CCCC4)CCC23)CC1,True,,3,24,,,,,,
CHEMBL197606,CHEMBL197606,antagonist,initial,1,1,1,CHEMBL853546,CHEMBL1148617,pA2,Antagonist potency at cloned recombinant human adenosine A2A receptor transfected in CHO cells by cAMP assay,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)c4ccc(F)cc4)cn3)[nH]c2n(CCC)c1=O,DVLLEQDRWZECAH-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCCC4)CC3)CC2C1,True,,3,25,,,,,,
CHEMBL1990267,CHEMBL1990267,antagonist,initial,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,COc1cccc2cc(C(N)=O)c(=N)oc12,HHMZURGWXAWJGC-UHFFFAOYSA-N,CC1CCC2CCCCC2C1,True,,3,26,,,,,,
CHEMBL3414942,CHEMBL3414942,agonist,initial,2,1,1,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N[C@H]5C[C@@H]6CC[C@@H]5C6)ncnc43)[C@H](O)[C@@H]2O)n1,VBEDZGFOGYYFAA-VAKQMTRESA-N,C1CCC(C2CCC(C3CCC4C(CC5CC6CCC5C6)CCCC34)C2)C1,True,,3,27,,,,,,
CHEMBL199446,CHEMBL199446,antagonist,initial,1,1,1,CHEMBL853546,CHEMBL1148617,Kd,Antagonist potency at cloned recombinant human adenosine A2A receptor transfected in CHO cells by cAMP assay,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc2n(C)c1=O,OTTHALQEWXGENA-UHFFFAOYSA-N,CC(CCC1CCC(C2CC3CC(C)CC(C)C3C2)CC1)CC1CCCCC1,True,,3,28,,,,,,
CHEMBL201217,CHEMBL201217,antagonist,initial,1,1,1,CHEMBL853546,CHEMBL1148617,pA2,Antagonist potency at cloned recombinant human adenosine A2A receptor transfected in CHO cells by cAMP assay,CCCn1c(=O)c2nc(-c3cc(OCC(=O)c4ccc(I)cc4)n(C)n3)[nH]c2n(CCC)c1=O,ZDQNNVOXYCDLRR-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCCC4)C3)CC2C1,False,,3,29,,,,,,
CHEMBL3414944,CHEMBL3414944,agonist,initial,2,1,1,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CCCO5)ncnc43)[C@H](O)[C@@H]2O)n1,OZWIQLJRUYENLH-BHETVNITSA-N,C1CCC(CC2CCCC3C2CCC3C2CCC(C3CCCC3)C2)C1,True,,3,30,,,,,,
CHEMBL2042059,CHEMBL2042059,antagonist,initial,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,COc1cccc2cc(C(=O)NC3CCCCC3)c(=N)oc12,LUFDYZFYLCODSE-UHFFFAOYSA-N,CC(CC1CCCCC1)C1CC2CCCCC2CC1C,True,,3,31,,,,,,
CHEMBL2042062,CHEMBL2042062,antagonist,initial,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,COc1cccc2cc(C(=O)NCCCOCCCCOCCCNC(=O)c3cc4cccc(OC)c4oc3=N)c(=N)oc12,JNCOYVVDNPCLKB-UHFFFAOYSA-N,CC(CCCCCCCCCCCCCCC(C)C1CC2CCCCC2CC1C)C1CC2CCCCC2CC1C,False,,3,32,,,,,,
CHEMBL2042073,CHEMBL2042073,antagonist,initial,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,COc1cccc2cc(C(=O)NCCc3ccc(O)cc3)c(=N)oc12,FZDOJZCUDKGLGL-UHFFFAOYSA-N,CC(CCCC1CCCCC1)C1CC2CCCCC2CC1C,True,,3,33,,,,,,
CHEMBL3414946,CHEMBL3414946,agonist,initial,2,1,1,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,CCn1nnc([C@H]2O[C@@H](n3cnc4c(Nc5ccc(Cl)cc5F)ncnc43)[C@H](O)[C@@H]2O)n1,SLEKQRJDUVSCPY-MOROJQBDSA-N,C1CCC(CC2CCCC3C2CCC3C2CCC(C3CCCC3)C2)CC1,True,,3,34,,,,,,
CHEMBL2042081,CHEMBL2042081,antagonist,initial,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,COc1cccc2cc(C(=O)Nc3c(C#N)ncn3-c3ccc(F)cc3)c(=N)oc12,VLBFZMVIQCLDRL-UHFFFAOYSA-N,CC1CC2CCCCC2CC1C(C)CC1CCCC1C1CCCCC1,True,,3,35,,,,,,
