chembl_id,molecule_name,standardized_smiles,standardized_inchikey,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,reviewer,decision,evidence_tier,source_checked,review_notes,reviewed_at_utc
CHEMBL1587915,CHEMBL1587915,CC(C)C(=O)Nc1ncc2c(n1)CC(c1cccs1)CC2=O,YPMWIVBLLPUGOQ-UHFFFAOYSA-N,1,1,1,CHEMBL5336572,CHEMBL5335785,EC50,Antagonist activity at human A2AR expressed in Flp-In-CHO cells assessed as NECA-mediated cAMP accumulation incubated for 30 to 60 mins followed by NECA addition measured after 30 mins by LANCE cAMP assay (Rvb = 8.38 +/- 0.03 No_unit),Tharran,,,,,
CHEMBL1671936,CHEMBL1671936,CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,KEUJAGGJGBWRFC-UHFFFAOYSA-N,1,1,1,CHEMBL1679415,CHEMBL1671809,Kb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation,Tharran,,,,,
CHEMBL183,"1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]",CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,FFBDFADSZUINTG-UHFFFAOYSA-N,1,1,1,CHEMBL4407539,CHEMBL4406810,IC50,Antagonist activity at human A2AR expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP production by alphascreen assay,Tharran,,,,,
CHEMBL5171042,CHEMBL5171042,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCC[C@H]4Oc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,MNMRRFAISKIFMJ-SLHDEKGNSA-N,2,2,1,CHEMBL5099262,CHEMBL5096218,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO-K1 cells assessed as inhibition of forskolin-induced cAMP accumulation incubated for 30 mins by LANCE ultra assay,Tharran,,,,,
CHEMBL197606,CHEMBL197606,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)c4ccc(F)cc4)cn3)[nH]c2n(CCC)c1=O,DVLLEQDRWZECAH-UHFFFAOYSA-N,1,1,1,CHEMBL853546,CHEMBL1148617,pA2,Antagonist potency at cloned recombinant human adenosine A2A receptor transfected in CHO cells by cAMP assay,Tharran,,,,,
CHEMBL1990267,CHEMBL1990267,COc1cccc2cc(C(N)=O)c(=N)oc12,HHMZURGWXAWJGC-UHFFFAOYSA-N,1,1,1,CHEMBL2045255,CHEMBL2040792,pKb,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP accumulation incubated for 15 mins prior to NECA-induction measured after 15 mins by enzyme immunoassay relative to control,Tharran,,,,,
CHEMBL3414942,CHEMBL3414942,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N[C@H]5C[C@@H]6CC[C@@H]5C6)ncnc43)[C@H](O)[C@@H]2O)n1,VBEDZGFOGYYFAA-VAKQMTRESA-N,2,1,1,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,Tharran,,,,,
CHEMBL199446,CHEMBL199446,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc2n(C)c1=O,OTTHALQEWXGENA-UHFFFAOYSA-N,1,1,1,CHEMBL853546,CHEMBL1148617,Kd,Antagonist potency at cloned recombinant human adenosine A2A receptor transfected in CHO cells by cAMP assay,Tharran,,,,,
CHEMBL201217,CHEMBL201217,CCCn1c(=O)c2nc(-c3cc(OCC(=O)c4ccc(I)cc4)n(C)n3)[nH]c2n(CCC)c1=O,ZDQNNVOXYCDLRR-UHFFFAOYSA-N,1,1,1,CHEMBL853546,CHEMBL1148617,pA2,Antagonist potency at cloned recombinant human adenosine A2A receptor transfected in CHO cells by cAMP assay,Tharran,,,,,
CHEMBL3414944,CHEMBL3414944,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CCCO5)ncnc43)[C@H](O)[C@@H]2O)n1,OZWIQLJRUYENLH-BHETVNITSA-N,2,1,1,CHEMBL3420494,CHEMBL3414438,EC50,Agonist activity at human recombinant adenosine A2A receptor transfected in CHO cells assessed as induction of adenylyl cyclase activity,Tharran,,,,,
