chembl_id,molecule_name,standardized_smiles,standardized_inchikey,functional_activity_rows,unique_assays,unique_documents,representative_assay,representative_document,representative_readout,representative_description,reviewer,decision,evidence_tier,source_checked,review_notes,reviewed_at_utc
CHEMBL2070508,CHEMBL2070508,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NC2CCCC2)[C@@H](O)[C@H]1O,ISNMLOJARGEFLK-BQVMBELUSA-N,2,2,1,CHEMBL2072287,CHEMBL2069206,EC50,Agonist activity at human A2A adenosine receptor expressed in CHO cells assessed as stimulation of forskolin-induced cAMP accumulation after 30 mins,Tharran,,,,,
CHEMBL5619520,CHEMBL5619520,CNc1nc(C#Cc2ccccc2)nc2c1ncn2Cc1ccccc1,SUDOWMACBRPLEH-UHFFFAOYSA-N,2,2,1,CHEMBL5616314,CHEMBL5614411,EC50,Antagonist activity at human Adenosine receptor A2a transfected in HEK293 cells co-expressing CRE-luciferase plasmid assessed as reduction in CRE promoter activity by measuring effective concentration incubated for 18 hrs by luciferase based CRE reporter assay,Tharran,,,,,
CHEMBL564084,CHEMBL564084,CCCN(CCc1ccc(NC(=O)CCC(N)C(=O)NCCCCC(NC(=O)CCC(=O)NCCOCCOCCNC(=O)CCC(=O)NCCOCCOCCNC(=O)CCC(=O)NCCOCCOCCNC(=O)C(CCCCNC(=O)C(N)CCCCNC(=O)COc2ccc(-c3nc4c([nH]3)c(=O)n(CCC)c(=O)n4CCC)cc2)NC(C)=O)C(N)=O)cc1)C1CCc2c(O)cccc2C1,OTQOMCALXNRSDL-UHFFFAOYSA-N,2,2,1,CHEMBL1062522,CHEMBL1153525,Activity,Antagonist activity at human A2aR expressed in HEK293 cells assessed as cAMP accumulation at 10 uM,Tharran,,,,,
CHEMBL3416801,CHEMBL3416801,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccccc5)CC4)nc32)[C@H](O)[C@@H]1O,VOMVVKGMVNIXGH-GRXQJBFDSA-N,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,Tharran,,,,,
CHEMBL600794,CHEMBL600794,CN1CCc2nc3sc(C(=O)Nc4ccc(Cl)cc4)c(N)c3cc2C1,YCIKPGUSEZZDGL-UHFFFAOYSA-N,2,2,1,CHEMBL1071497,CHEMBL1156885,Activity,"Antagonist activity at human adenosine 2A receptor expressed in HEK293 cells assessed as inhibition of 10 nM 3-(4-(2-(6-amino-9-((2R,3R,4S,5S)-5-(ethylcarbamoyl)-3,4-dihydroxytetrahydrofuran-2-yl)-9H-purin-2-ylamino)ethyl)phenyl)propanoic acid-induced intracellular cAMP production at 10 uM",Tharran,,,,,
CHEMBL600819,CHEMBL600819,N#Cc1c(N)nc2c(C(N)=O)c(Nc3ccccc3)sc2c1-c1ccccc1,VJCANGHIFSKRFF-UHFFFAOYSA-N,2,2,1,CHEMBL1071498,CHEMBL1156885,Activity,"Antagonist activity at human adenosine 2A receptor expressed in HEK293 cells assessed as inhibition of 10 uM 3-(4-(2-(6-amino-9-((2R,3R,4S,5S)-5-(ethylcarbamoyl)-3,4-dihydroxytetrahydrofuran-2-yl)-9H-purin-2-ylamino)ethyl)phenyl)propanoic acid-induced intracellular cAMP production at 10 uM",Tharran,,,,,
CHEMBL3416805,CHEMBL3416805,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(N4CCN(c5ccc(OCc6ccccc6)cc5)CC4)nc32)[C@H](O)[C@@H]1O,BMVQYTBZDSZAEL-NLJXWPIHSA-N,2,2,1,CHEMBL3419486,CHEMBL3414558,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO cells assessed as stimulation of [3H]cAMP levels by scintillation counting method,Tharran,,,,,
CHEMBL136689,CHEMBL136689,COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,AEULVFLPCJOBCE-UHFFFAOYSA-N,2,1,1,CHEMBL5037232,CHEMBL5036326,Ki,Antagonist activity at human adenosine A2A receptor expressed in Flp-In-CHO cell membrane assessed as inhibition of NECA-induced cAMP accumulation in presence of forskolin measured after 40 mins by alpha screen LANCE assay,Tharran,,,,,
CHEMBL2381765,CHEMBL2381765,Cn1cnc2c(N)nc(NCCc3ccc(O)cc3)nc21,WGAKQGDHUAFLTM-UHFFFAOYSA-N,2,1,1,CHEMBL2384072,CHEMBL2380258,IC50,Antagonist activity at recombinant human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NECA-induced cAMP production after 60 mins,Tharran,,,,,
CHEMBL4159215,CHEMBL4159215,Nc1nc(NCc2ccsc2)nc2sc(-c3ccco3)nc12,PQWDMDZIOAGQDU-UHFFFAOYSA-N,2,1,1,CHEMBL4156076,CHEMBL4152311,IC50,Antagonist activity against human adenosine A2A receptor expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP accumulation measured after 150 mins in presence of [3H]cAMP by scintillation counting method,Tharran,,,,,
CHEMBL3740939,CHEMBL3740939,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N(C)C)nc43)[C@H](O)[C@@H]2O)n1,XACFFOLLZVHOCM-QRIDJOKKSA-N,2,2,1,CHEMBL3743205,CHEMBL3739405,Emax,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay relative to NECA,Tharran,,,,,
CHEMBL4167557,CHEMBL4167557,Nc1nc(NCCc2ccco2)nc2sc(-c3ccco3)nc12,JYTHVDBRJGGODY-UHFFFAOYSA-N,2,1,1,CHEMBL4156076,CHEMBL4152311,IC50,Antagonist activity against human adenosine A2A receptor expressed in CHO cells assessed as inhibition of CGS21680-stimulated cAMP accumulation measured after 150 mins in presence of [3H]cAMP by scintillation counting method,Tharran,,,,,
CHEMBL506250,CHEMBL506250,N#Cc1c(-c2ccco2)cc(-c2ccco2)nc1N,BDULELAUBSFJFH-UHFFFAOYSA-N,2,1,1,CHEMBL967912,CHEMBL1155896,Kd,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as effect on CGS-21680-induced cAMP production,Tharran,,,,,
CHEMBL3741393,CHEMBL3741393,CC(Cc1ccccc1)Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,YISHBQSEDYNEAM-BTBIENRZSA-N,2,2,1,CHEMBL3743420,CHEMBL3739405,EC50,Agonist activity at human recombinant adenosine A2A receptor expressed in CHO cells assessed as stimulation of NECA-mediated cAMP accumulation preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,Tharran,,,,,
CHEMBL5073669,CHEMBL5073669,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,OILFXMJWXJFNKA-UHFFFAOYSA-N,2,1,1,CHEMBL5037232,CHEMBL5036326,Ki,Antagonist activity at human adenosine A2A receptor expressed in Flp-In-CHO cell membrane assessed as inhibition of NECA-induced cAMP accumulation in presence of forskolin measured after 40 mins by alpha screen LANCE assay,Tharran,,,,,
CHEMBL5076572,CHEMBL5076572,C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCC)c4[nH]3)(CC1)CC2,HPGLNKYCDIIEST-UHFFFAOYSA-N,2,1,1,CHEMBL5037232,CHEMBL5036326,pKb,Antagonist activity at human adenosine A2A receptor expressed in Flp-In-CHO cell membrane assessed as inhibition of NECA-induced cAMP accumulation in presence of forskolin measured after 40 mins by alpha screen LANCE assay,Tharran,,,,,
CHEMBL3771208,CHEMBL3771208,OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCC[C@H]4OCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,XSVRBMOJKPAIJX-NKYRPOHVSA-N,2,2,1,CHEMBL5099262,CHEMBL5096218,EC50,Agonist activity at human adenosine A2A receptor expressed in CHO-K1 cells assessed as inhibition of forskolin-induced cAMP accumulation incubated for 30 mins by LANCE ultra assay,Tharran,,,,,
CHEMBL5176737,CHEMBL5176737,Nc1nc(C(=O)NCc2ccccn2)cn2c1nc1ccccc12,QHIATACMHNLOEM-UHFFFAOYSA-N,2,1,1,CHEMBL5148543,CHEMBL5143715,IC50,Antagonist activity at A2AAR in human HEK293 cells assessed as inhibition of CGS21680-induced cAMP production preincubated for 15 mins followed by CGS21680 addition and measured after 15 mins by HTRF assay,Tharran,,,,,
CHEMBL1076503,CHEMBL1076503,O=C(NC1CC1)c1nc(NCc2cccnc2)nc2ccsc12,DJXXCPVDTMEZQZ-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL1076504,CHEMBL1076504,CC(C)NC(=O)c1nc(NCc2cccnc2)nc2ccsc12,CDUCLUZYLNLKKW-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL4059961,CHEMBL4059961,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5cccc(Br)c5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,WTSRCKFFAWSKBH-MOROJQBDSA-N,2,2,1,CHEMBL4052151,CHEMBL4049451,EC50,Agonist activity at recombinant human adenosine A2A receptor expressed in CHO cell membranes assessed as stimulation of adenylyl cyclase activity by [alpha-32P]ATP assay,Tharran,,,,,
CHEMBL1077749,CHEMBL1077749,Cc1nc(C(=O)c2ccc(C)s2)c2sccc2n1,OUKKULWZHJJUCO-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL1077902,CHEMBL1077902,Cc1ccc(C(=O)c2nc(NCc3ccncn3)nc3ccsc23)s1,SFYCKRAOKBZQQD-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL4076003,CHEMBL4076003,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5ccco5)ncnc43)[C@H](O)[C@@H]2O)n1,VLAOLJRMDZJSLN-PFHKOEEOSA-N,2,2,1,CHEMBL4052151,CHEMBL4049451,EC50,Agonist activity at recombinant human adenosine A2A receptor expressed in CHO cell membranes assessed as stimulation of adenylyl cyclase activity by [alpha-32P]ATP assay,Tharran,,,,,
CHEMBL1078001,CHEMBL1078001,Cc1ccc(C(=O)c2nc(NC(=O)c3cccnc3)nc3ccsc23)s1,RMNYIORRJFTYKB-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL1078085,CHEMBL1078085,Cc1ccc(C(=O)c2nc(NCCc3ccccn3)nc3ccsc23)s1,WBCAKXYDAUCZDG-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL1079141,CHEMBL1079141,O=C(c1ccccc1)c1nc(NCc2cccnc2)nc2ccsc12,NJLNJHCKQVRQDL-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL4087306,CHEMBL4087306,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCC5CC5)ncnc43)[C@H](O)[C@@H]2O)n1,JHUFDJIJVKFFOF-MEQWQQMJSA-N,2,2,1,CHEMBL4052151,CHEMBL4049451,EC50,Agonist activity at recombinant human adenosine A2A receptor expressed in CHO cell membranes assessed as stimulation of adenylyl cyclase activity by [alpha-32P]ATP assay,Tharran,,,,,
CHEMBL1082063,CHEMBL1082063,O=C(NC1CCCCC1)c1nc(NCc2cccnc2)nc2ccsc12,JTMNJBCPWGVLEV-UHFFFAOYSA-N,1,1,1,CHEMBL1105840,CHEMBL1154258,IC50,Antagonist activity at human adenosine A2A receptor expressed in CHOK1 cells assessed as inhibition of calcium mobilization by FLIPR assay,Tharran,,,,,
CHEMBL1087185,CHEMBL1087185,CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,WEDKBAZTBXZYBK-UHFFFAOYSA-N,1,1,1,CHEMBL2167687,CHEMBL2163234,Ki,Antagonist activity at human Adenosine receptor A2a assessed as inhibition of cAMP production,Tharran,,,,,
CHEMBL4451303,CHEMBL4451303,Cn1c(=O)c2c(nc3n2CCN([C@@H]2CCCc4ccccc42)C3)n(C)c1=O,GEMWFQCNZGPNFF-OAHLLOKOSA-N,2,2,1,CHEMBL4430990,CHEMBL4428125,Activity,Agonist activity at recombinant human A2A receptor expressed in CHO cells assessed as increase in forskolin-induced cAMP level at at 10 uM preincubated for 20 mins prior to forskolin-stimulation measure after 5 mins by liquid scintillation counting method,Tharran,,,,,
CHEMBL1092270,CHEMBL1092270,CCCCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,QHFYRCHXHNWYCV-UHFFFAOYSA-N,1,1,1,CHEMBL1105453,CHEMBL1156165,Activity,Antagonist activity at human adenosine A2A receptor expressed in HEK293 cells assessed as inhibition of NECA-induced intracellular cAMP accumulation at 100 nM after 24 hrs (Rvb= 0.40 pmol/ml),Tharran,,,,,
CHEMBL1095999,CHEMBL1095999,Nc1nc(-c2ccco2)c2c(n1)-c1ccccc1C2=O,KHOCZGQEVMEBSV-UHFFFAOYSA-N,1,1,1,CHEMBL3267347,CHEMBL3259781,Ki,Antagonist activity at human recombinant adenosine receptor A2a by cAMP assay,Tharran,,,,,
CHEMBL4540395,CHEMBL4540395,Cn1c(=O)c2c(nc3n2CCN(Cc2csc(-c4cccs4)n2)C3)n(C)c1=O,YQRZRTIMIDGUQW-UHFFFAOYSA-N,2,2,1,CHEMBL4430990,CHEMBL4428125,Activity,Agonist activity at recombinant human A2A receptor expressed in CHO cells assessed as increase in forskolin-induced cAMP level at at 10 uM preincubated for 20 mins prior to forskolin-stimulation measure after 5 mins by liquid scintillation counting method,Tharran,,,,,
CHEMBL1097859,CHEMBL1097859,Cc1ccc(-c2nc(C(=O)Nc3ccccn3)c3n2CCCCC3)cc1,KYSFTXJTWSDCSC-UHFFFAOYSA-N,1,1,1,CHEMBL1108378,CHEMBL1158568,Ki,Antagonist activity at human adenosine A2A receptor expressed in CHO cells assessed as inhibition of NSCA-induced cAMP accumulation pre-incubated for 15 mins by enzyme immunoassay,Tharran,,,,,
CHEMBL113,CAFFEINE,Cn1c(=O)c2c(ncn2C)n(C)c1=O,RYYVLZVUVIJVGH-UHFFFAOYSA-N,1,1,1,CHEMBL2384073,CHEMBL2380258,Ki,Antagonist activity at human adenosine A2A receptor assessed as cAMP level by cell based assay,Tharran,,,,,
CHEMBL1258170,CHEMBL1258170,COc1ccc(Nc2c(-c3ccc4nccnc4c3)c(C)nn2-c2ccccc2C)c(C(=O)O)c1,MCOJHKJMTCBWSD-UHFFFAOYSA-N,1,1,1,CHEMBL1259523,CHEMBL1255521,IC50,Antagonist activity at adenosine A2A receptor by cAMP assay,Tharran,,,,,
CHEMBL4549506,CHEMBL4549506,Cn1c(=O)c2c(nc3n2CCN(Cc2csc(-c4ccc(C(F)(F)F)cc4)n2)C3)n(C)c1=O,ZQRIIWBOYPCWHS-UHFFFAOYSA-N,2,2,1,CHEMBL4430990,CHEMBL4428125,Activity,Agonist activity at recombinant human A2A receptor expressed in CHO cells assessed as increase in forskolin-induced cAMP level at at 10 uM preincubated for 20 mins prior to forskolin-stimulation measure after 5 mins by liquid scintillation counting method,Tharran,,,,,
CHEMBL1460863,CHEMBL1460863,COc1ccc(C(=O)Nc2nc(C)c3cc4c(cc3n2)OCO4)cc1,XAESXNPBEDJXJH-UHFFFAOYSA-N,1,1,1,CHEMBL5336572,CHEMBL5335785,EC50,Antagonist activity at human A2AR expressed in Flp-In-CHO cells assessed as NECA-mediated cAMP accumulation incubated for 30 to 60 mins followed by NECA addition measured after 30 mins by LANCE cAMP assay (Rvb = 8.38 +/- 0.03 No_unit),Tharran,,,,,
CHEMBL1561896,CHEMBL1561896,COc1cccc(COC(=O)c2nn(-c3ccccc3)nc2N)c1,PVXSYGKEPLNOTR-UHFFFAOYSA-N,1,1,1,CHEMBL4123896,CHEMBL4118207,Inhibition,Antagonist activity at human A2A receptor expressed in CHO cells assessed as inhibition of NECA-stimulated cAMP accumulation at 100 nM preincubated for 15 mins followed by NECA addition measured after 15 mins by enzyme immunoassay,Tharran,,,,,
CHEMBL4582207,CHEMBL4582207,Cn1c(=O)c2c(nc3n2CCN(CCCc2ccc(Cl)cc2)C3)n(C)c1=O,OOVWJQCYDXLQQI-UHFFFAOYSA-N,2,2,1,CHEMBL4430990,CHEMBL4428125,Activity,Agonist activity at recombinant human A2A receptor expressed in CHO cells assessed as increase in forskolin-induced cAMP level at at 10 uM preincubated for 20 mins prior to forskolin-stimulation measure after 5 mins by liquid scintillation counting method,Tharran,,,,,
