index,input_name,gaff2_name,element
1,N,N,N
2,C,C,C
3,N,N1,N
4,C,C1,C
5,C,C2,C
6,C,C3,C
7,C,C4,C
8,C,C5,C
9,O,O,O
10,N,N2,N
11,C,C6,C
12,C,C7,C
13,C,C8,C
14,C,C9,C
15,N,N3,N
16,C,C10,C
17,C,C11,C
18,C,C12,C
19,N,N4,N
20,C,C13,C
21,C,C14,C
22,H,H,H
23,H,H1,H
24,H,H2,H
25,H,H3,H
26,H,H4,H
27,H,H5,H
28,H,H6,H
29,H,H7,H
30,H,H8,H
31,H,H9,H
32,H,H10,H
