index,input_name,gaff2_name,element
1,C,C,C
2,O,O,O
3,N,N,N
4,C,C1,C
5,C,C2,C
6,C,C3,C
7,O,O1,O
8,C,C4,C
9,O,O2,O
10,C,C5,C
11,O,O3,O
12,C,C6,C
13,N,N1,N
14,C,C7,C
15,N,N2,N
16,C,C8,C
17,C,C9,C
18,N,N3,N
19,N,N4,N
20,C,C10,C
21,N,N5,N
22,C,C11,C
23,H,H,H
24,H,H1,H
25,H,H2,H
26,H,H3,H
27,H,H4,H
28,H,H5,H
29,H,H6,H
30,H,H7,H
31,H,H8,H
32,H,H9,H
33,H,H10,H
34,H,H11,H
35,H,H12,H
36,H,H13,H
37,H,H14,H
38,H,H15,H
