review_record_id,candidate_id,standardized_inchikey,generic_murcko_scaffold_smiles,scaffold_member_count,scaffold_composition,evidence_quality,pass_1_status,source_prediction_status,model_id,prediction_pbind_ki,interval_lower_90,interval_upper_90,threshold_pbind_ki,threshold_provenance_status,interval_eligibility,applicability_status,nearest_neighbor_similarity,descriptor_distance,deterministic_review_eligibility,eligibility_reasons,human_disposition_status,human_decision,human_reviewer,human_notes
URQ-7afda572f8e8376b,BDB-50137530,XDBHEXCFNGFAMS-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CC(CCC2CCCCC2)CC2CC(C3CCCC3)CC12,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-8156a4801c1a6f24,BDB-50137635,MFDDHVJCVCVPIP-UHFFFAOYSA-N,C1CCC(CCC2CC(CC3CCCCC3)CC3CC(C4CCCC4)CC23)CC1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-11b9951868ec90d9,BDB-50139711,DHTUIDHJRHTUOI-UHFFFAOYSA-N,C1CCC(C2CCC(C3CCCCC3)C2)CC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-6e296a0104ae8c0d,BDB-50139722,XLTCCJIUIMYSBX-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CC1CCCCC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-3f0e446d8802add5,BDB-50139728,PDTFIAGWAGDHCW-UHFFFAOYSA-N,C1CCC(CCCCCC2CCCCC2)CC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-0c662cb8af53f053,BDB-50139734,JBZHGBGUPKQCBU-UHFFFAOYSA-N,CC(CCCC1CCC2CCCCC2C1)CC1CCCCC1,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-38043a0011a13bce,BDB-50139768,DVGQDYYVGLUGNW-UHFFFAOYSA-N,CC(CCC1CCCC2CCCCC21)C1CCCC2CCCCC21,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-e5375f59daeaa871,BDB-50139775,KOGRSSNNCJISAU-UHFFFAOYSA-N,CC(CCC1CCCC2CCCCC21)C1CCCC2C(C3CCCCC3)CCCC12,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-d5a013c026fce19f,BDB-50139817,FIBSWIHKNWCKJD-UHFFFAOYSA-N,CC(CCC1CCCC2CCC(C)C12)C1CCCC2CCCCC21,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-f66d7ac173bdd865,BDB-50139836,WKZDIXJLBNRISL-UHFFFAOYSA-N,CC(CCC1CCCC2CC(C(C)C3CCCC4CCCCC43)CCC12)C1CCCC2CCCCC21,1,singleton,endpoint_resolution_required,metadata_pass_requires_endpoint_resolution,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-240cbd1eb7d93e58,BDB-50141449,SBJQACFELVSXPD-IWCJZZDYSA-N,CC(CC1CCCCC1)CC1CCC2CCC(C3CCCC3)C2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-b7f549fda30da472,BDB-50141455,DDCUXRNACUVAKE-HGBQRMJASA-N,CC(CC1CCC2CCC(C3CCCC3)C2C1)CCC1CCCCC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-356195ee4a160817,BDB-50141456,RZWYFQWUSTWXOT-XKLVTHTNSA-N,CC(CCC1CCCCC1)CC1CCC2CCC(C3CCCC3)C2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-334668f23fe0e93f,BDB-50147637,LUUSEYRGIWCHGC-UHFFFAOYSA-N,CC(C1CCCCC1)C1CCC2CC(C3CCCC3)CC2C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-634c42dc636e3d50,BDB-50147876,RCDDAILWTKWNPX-UHFFFAOYSA-N,CC1CCC2CCC(C3CCCCC3)CC2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-4d65a927cc6029ac,BDB-50152092,LHHKPNOHZCRPQI-CUVLRLMBSA-N,C1CCC(CCC2CC(C3CCC(C4CCCCC4)C3)CC3C(C4CCCC4)CCC23)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-3fabd687a8e0ecca,BDB-50156616,FARQWWRBQXFTDH-RDJZCZTQSA-N,C1CCC(CCC2CCC3CC(C4CCC5CC(C6CCCC6)CC5C4)CCC3C2)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-c0bd0743366e6c3b,BDB-50170827,TYCRGJHWMDJLCO-UHFFFAOYSA-N,C1CCC(C2CCC(CC3CC4CCCC4C(CC4CC5CCC4C5)C3)CC2)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-fd61a3a61988c4bb,BDB-50171290,HMXDWDSNPRNUKI-UHFFFAOYSA-N,CC(CC1CCCCC1)C1CC(C2CCCCC2)C(C2CCCCC2)C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-902d7025a27251d6,BDB-50171753,NOPDFTZVAJQFFF-UHFFFAOYSA-N,CC(CCCC1CCCCC1)C1CCC2CCCCC2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-63abbbd6f561ffd0,BDB-50171773,GFTOIPQCHLKALF-UHFFFAOYSA-N,C1CCC(CC2CCC3CCCCC3C2)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-51eb634654e8864d,BDB-50176819,JPKVNXGYCSFLGI-UHFFFAOYSA-N,C1CCC(CCC2CCC3C(CCC4CCCCC4)CCCC23)CC1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-8c0d15292a44e339,BDB-50179301,LYALQSWCHUWEAF-UHFFFAOYSA-N,C1CC2C3CCCC3C3CCCC3C2C1,1,singleton,primary_metadata_requires_fulltext,metadata_pass_needs_fulltext,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
URQ-4a380c366606aee6,BDB-50180205,AZMGORPHNMBVBU-KSVNGYGVSA-N,CC(CC1CC1)C1CCC(C2CCC3C(CCC4CCCCC4)CCCC32)C1,1,singleton,quarantined_target_not_supported,quarantine_target_not_supported,unavailable_or_rejected,,,,,,missing_or_rejected,not_assessed,not_assessed,,,blocked_missing_validated_prediction,validated_prediction_and_interval_unavailable,not_started_upstream_blocked,,,
