record_id,molecule_name,external_identifier,canonical_smiles,source_cohort,source_type,source_id,source_url,source_snapshot_id,source_published_at,source_retrieved_at,prior_project_visibility,source_independence_basis,priority_category,evidence_status,ingested_at
LIT25-RL-C7,RL study compound 7,PDB:A1IR1,c1cc(nc(c1)n2ccnc2)c3nc(nc(n3)N)c4ccco4,Primary literature pilot 2025,primary_publication,RCSB:A1IR1,https://data.rcsb.org/rest/v1/core/chemcomp/A1IR1,a2a-primary-literature-pilot-2026-09-11,2025-07-01,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,novel_chemotype,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z
LIT25-RL-C9,RL study compound 9,PDB:A1IR0,c1cc(oc1)c2nc(c3ccn(c3n2)c4ccncc4)N,Primary literature pilot 2025,primary_publication,RCSB:A1IR0,https://data.rcsb.org/rest/v1/core/chemcomp/A1IR0,a2a-primary-literature-pilot-2026-09-11,2025-07-01,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,novel_chemotype,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z
LIT25-RL-C5,RL study compound 5,OPSIN:NMTSCZDEWYHEMT-UHFFFAOYSA-N,NC1=NC2=CC=C(C=C2C(=N1)C1=CC=C(C=C1)O)F,Primary literature pilot 2025,primary_publication,OPSIN:NMTSCZDEWYHEMT-UHFFFAOYSA-N,https://opsin.ch.cam.ac.uk/opsin/4-(2-amino-6-fluoroquinazolin-4-yl)phenol.json,a2a-primary-literature-pilot-2026-09-11,2025-07-01,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; exact name visually verified in the primary supporting information and resolved by OPSIN; automated exact and scaffold screening required,novel_chemotype,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z
LIT25-MET-SAH,S-adenosyl-L-homocysteine,PubChem:439155,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N,Primary literature pilot 2025,primary_publication,PubChem:439155,https://pubchem.ncbi.nlm.nih.gov/compound/439155,a2a-primary-literature-pilot-2026-09-11,2025-12-09,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,metabolite,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z
LIT25-MET-DA,2'-deoxyadenosine,PubChem:13730,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)CO)O,Primary literature pilot 2025,primary_publication,PubChem:13730,https://pubchem.ncbi.nlm.nih.gov/compound/13730,a2a-primary-literature-pilot-2026-09-11,2025-12-09,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,metabolite,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z
LIT25-MET-PGD2,prostaglandin D2,PubChem:448457,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O,Primary literature pilot 2025,primary_publication,PubChem:448457,https://pubchem.ncbi.nlm.nih.gov/compound/448457,a2a-primary-literature-pilot-2026-09-11,2025-12-09,2026-09-11T12:38:05Z,false,not found in pre-freeze Track 3 repository sources or artifacts; automated exact and scaffold screening required,metabolite,evidence_withheld_pending_independence_screen,2026-09-11T12:38:05Z
