index,input_name,gaff2_name,element
1,C,C,C
2,C,C1,C
3,C,C2,C
4,O,O,O
5,C,C3,C
6,C,C4,C
7,C,C5,C
8,C,C6,C
9,C,C7,C
10,N,N,N
11,C,C8,C
12,N,N1,N
13,N,N2,N
14,C,C9,C
15,N,N3,N
16,N,N4,N
17,N,N5,N
18,C,C10,C
19,N,N6,N
20,C,C11,C
21,C,C12,C
22,C,C13,C
23,C,C14,C
24,C,C15,C
25,O,O1,O
26,H,H,H
27,H,H1,H
28,H,H2,H
29,H,H3,H
30,H,H4,H
31,H,H5,H
32,H,H6,H
33,H,H7,H
34,H,H8,H
35,H,H9,H
36,H,H10,H
37,H,H11,H
38,H,H12,H
39,H,H13,H
40,H,H14,H
